Priority,Urgency,Status,Incident Number,Requestor,Email,Short Description,Long Description,Phone,Days Open,,
2024-09-18,4,1,open,17101,Elizabeth Smith,elizabeth.smith@austx.com,"Network outage causing disruption in email communication, Long Description: A network outage occurred today in our office, leading to a disruption in email communication for all employees. The IT team is currently investigating the issue to identify the root cause and restore connectivity as soon as possible. This incident is impacting our ability to send and receive important emails, affecting our daily operations. Employees are advised to use alternative communication methods until the issue is resolved.",,5121737395,12,
2024-03-29,2,1,open,70100,Kenneth Williams,kenneth.williams@austx.com,"Data breach discovered in the company's database, Long Description: Our company has discovered a data breach in our database, potentially compromising sensitive information of both employees and clients. The IT security team has immediately initiated an incident response plan to contain the breach, assess the extent of the damage, and implement necessary measures to prevent further data loss. Users are advised to change their passwords and be cautious of any suspicious activity related to their accounts. The company is also working on enhancing its cybersecurity measures to prevent future breaches.",,5125020330,10,
2025-02-11,3,4,closed,57901,Stephen Campbell,stephen.campbell@austx.com,"Network outage causing disruption in accessing critical systems, Long Description: Employees at a medium-sized enterprise experienced a network outage that disrupted access to critical systems and applications. The incident occurred suddenly during peak working hours, leading to confusion and frustration among the staff members. The IT team quickly identified the issue as a network failure and began troubleshooting to restore connectivity. As the outage persisted, employees started discussing the impact on their daily tasks and productivity. Some employees reported being unable to access important files stored on the network drives, while others struggled to communicate with colleagues through internal messaging platforms. The IT team provided periodic updates on their progress, reassuring employees that they were working diligently to resolve the issue. After several hours of troubleshooting, the network was finally restored, and normal operations resumed. Post-incident, a meeting was held to discuss the root cause of the outage and implement preventive measures to minimize the risk of future disruptions.",,5128902554,29,
2024-07-10,4,4,open,55747,Barbara Wright,barbara.wright@austx.com,Users are experiencing difficulty accessing the company's email server.,"Employees at a medium-sized enterprise have reported issues with accessing their emails through the company's server. The IT team is investigating the root cause of the problem, which seems to be affecting multiple users across different departments. Some employees have resorted to using personal email accounts in the meantime, causing potential security risks. The IT helpdesk has been inundated with support tickets related to this email server issue, and users are growing increasingly frustrated with the lack of communication regarding the issue resolution timeline. Discussions among employees have sparked concerns about the reliability of the company's IT infrastructure and the impact on productivity. The IT team is under pressure to resolve the issue promptly and provide clear updates to reassure employees.",5127482141,3,
2024-02-24,1,4,closed,95597,Sharon Hall,sharon.hall@austx.com,Employees are encountering slow network speeds.,"A number of employees in a medium-sized enterprise have raised concerns about slow network speeds impacting their day-to-day work. Users have reported delays in accessing shared files, loading web pages, and connecting to remote servers. The IT helpdesk has received multiple tickets related to network performance issues and is currently investigating the underlying cause. Discussions are ongoing within the organization about potential solutions to improve network speed and efficiency to minimize disruptions to workflow.",5125773590,21,
2023-11-24,4,3,open,15050,Linda Anderson,linda.anderson@austx.com,"Network outage impacting multiple departments, Long Description: A network outage is currently impacting multiple departments within the medium-sized enterprise. Users are unable to connect to critical systems and applications, causing a significant disruption to daily operations. The IT team is working to identify the source of the outage and restore network connectivity to minimize the impact on productivity.",,5123982928,28,
2024-04-12,2,2,closed,49993,Nicholas White,nicholas.white@austx.com,"Network outage impacting email communication, Long Description: A network outage has occurred at a medium-sized enterprise, impacting email communication for employees. This has led to delays in responding to client inquiries and internal team collaboration. The IT team is working diligently to restore network connectivity and ensure that email services are back up and running smoothly. Employees are advised to use alternative communication channels in the meantime.",,5122891789,10,
2024-03-27,3,3,open,84510,George Roberts,george.roberts@austx.com,"Users are experiencing difficulties accessing email services. Long Description: Several employees in the marketing department at a medium-sized enterprise are reporting issues with accessing their email accounts. They are receiving error messages when trying to log in and are unable to send or receive emails. The IT team is investigating the issue to determine the root cause and resolve it as quickly as possible. Meanwhile, the affected employees are unable to carry out their daily tasks efficiently, leading to a decrease in productivity within the department. Discussions are ongoing between the IT team and the employees to provide updates on the progress of the investigation and to offer alternative communication solutions in the meantime.",,5129244699,9,
2025-02-07,1,4,closed,92899,James Martin,james.martin@austx.com,"Employees are unable to access shared network drives, impacting collaboration efforts.","A number of employees within the medium-sized enterprise have encountered difficulties in accessing shared network drives, which is hampering their ability to collaborate on projects and access important files stored on the company's network. The issue has been reported by users from various departments who rely on these shared drives for their day-to-day work. The IT support team is aware of the problem and is actively troubleshooting to identify the cause of the connectivity issue. In the meantime, employees are advised to utilize alternative methods for file sharing and collaboration to ensure minimal disruption to ongoing projects and tasks.",5123534966,7,
2023-12-31,4,2,open,46831,Rebecca Lee,rebecca.lee@austx.com,"Network outage impacting multiple departments, Long Description: A network outage has been reported within a medium-sized enterprise, impacting multiple departments' ability to access shared drives, applications, and the internet. Users have raised concerns about the disruption to their work and productivity. The IT team is actively working to identify the source of the outage and restore network connectivity across the affected areas. Employees are advised to remain patient while the issue is being addressed.",,5127122376,14,
